[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 20.195.65.193 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 92.38.180.108 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 20.195.65.193 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 192.168.100.1 | Protocol: 17
[2026-01-13 20:28:34] 192.168.100.67 -> 192.168.100.1 | Protocol: 17
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.1 -> 192.168.100.67 | Protocol: 17
[2026-01-13 20:28:34] 192.168.100.1 -> 192.168.100.67 | Protocol: 17
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 172.188.155.25 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:34] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
